rank,feature,mean_absolute_shap,mean_signed_shap
1,WORD1DL,1.2512455,-0.11783753
2,WORD2DL,0.7694984,-0.13829035
3,WORD3DL,0.7534399,-0.147582
4,MMDRAW,0.5587818,0.01950924
5,MMREPEAT,0.3447372,0.0009447062
6,MMW,0.31511998,0.0055468096
7,MMO,0.3029541,-0.014497656
8,MMHAND,0.230817,0.008609674
9,VSTEMP,0.21102108,0.022484537
10,NPIG,0.2018176,0.013965697
11,MMR,0.19119792,0.019678706
12,GDBORED,0.15939926,-0.00044691184
13,GDTOTAL,0.15738468,-0.028881982
14,VSPULSE,0.14250787,-0.015295113
15,VSWEIGHT,0.13904774,-0.010171826
16,VSTMPSRC,0.11514703,-0.013568031
17,VSBPSYS,0.104867004,0.014878795
18,VSHEIGHT,0.09212919,-0.009926519
